"Alert Id","Alert State","Alert Title","Alert Type","Rule Id","Rule Name","Rule Description","Tags","Severity","First Seen","Last Seen","Fixed On","Dismissed On","Dismissal Type","SLA Days","Days overdue","Alert Link","Organization","Project","Repository","Ref","Ecosystem","Location Paths","Logical Paths"
"1","active","GitHub legacy personal access token (PAT)","secret","SEC101/006","GitHubLegacyPat","Review evidence of possible plaintext (or base64-encoded plaintext) secrets in versioned engineering content.","","critical","2023-09-06T18:48:16Z","2023-09-06T18:48:16Z","","",,"7","155","https://dev.azure.com/octodemo-temporary/e56bef04-322b-4fea-8758-d6fea322ecc9/_git/d58b2183-87dc-4f27-8e11-01d319b0ef0c/alerts/1","octodemo-temporary","jfhelin-GHAzDO","jfhelin-GHAzDO",,,"Infra/main.bicep:26 @ b9af4f7e",""
"14","active","Query built from user-controlled sources (java/sql-injection)","code","java/sql-injection","java/sql-injection","Building a SQL or Java Persistence query from user-controlled sources is vulnerable to insertion of malicious code by the user.","security,external/cwe/cwe-089,external/cwe/cwe-564","high","2023-05-17T09:17:57Z","2023-05-17T09:17:57Z","","",,"30","126","https://dev.azure.com/octodemo-temporary/e56bef04-322b-4fea-8758-d6fea322ecc9/_git/d58b2183-87dc-4f27-8e11-01d319b0ef0c/alerts/14","octodemo-temporary","jfhelin-GHAzDO","jfhelin-GHAzDO","refs/heads/main",,"src/main/java/com/github/demo/service/BookDatabaseImpl.java:120 @ c3fc32e1",""
"15","active","Unsafe jQuery plugin (js/unsafe-jquery-plugin)","code","js/unsafe-jquery-plugin","js/unsafe-jquery-plugin","A jQuery plugin that unintentionally constructs HTML from some of its options may be unsafe to use for clients.","security,external/cwe/cwe-079,external/cwe/cwe-116,frameworks/jquery","medium","2023-10-17T13:05:15Z","2023-10-17T13:05:15Z","","",,"90","66","https://dev.azure.com/octodemo-temporary/e56bef04-322b-4fea-8758-d6fea322ecc9/_git/d58b2183-87dc-4f27-8e11-01d319b0ef0c/alerts/15","octodemo-temporary","jfhelin-GHAzDO","jfhelin-GHAzDO","refs/heads/main",,"src/main/webapp/static/bootstrap-3.4.1-dist/js/bootstrap.js:1372 @ 7565e867",""
"16","active","Unsafe jQuery plugin (js/unsafe-jquery-plugin)","code","js/unsafe-jquery-plugin","js/unsafe-jquery-plugin","A jQuery plugin that unintentionally constructs HTML from some of its options may be unsafe to use for clients.","security,external/cwe/cwe-079,external/cwe/cwe-116,frameworks/jquery","medium","2023-10-17T13:05:15Z","2023-10-17T13:05:15Z","","",,"90","66","https://dev.azure.com/octodemo-temporary/e56bef04-322b-4fea-8758-d6fea322ecc9/_git/d58b2183-87dc-4f27-8e11-01d319b0ef0c/alerts/16","octodemo-temporary","jfhelin-GHAzDO","jfhelin-GHAzDO","refs/heads/main",,"src/main/webapp/static/bootstrap-3.4.1-dist/js/bootstrap.js:2200 @ 7565e867",""
"17","active","Unsafe jQuery plugin (js/unsafe-jquery-plugin)","code","js/unsafe-jquery-plugin","js/unsafe-jquery-plugin","A jQuery plugin that unintentionally constructs HTML from some of its options may be unsafe to use for clients.","security,external/cwe/cwe-079,external/cwe/cwe-116,frameworks/jquery","medium","2023-10-17T13:05:15Z","2023-10-17T13:05:15Z","","",,"90","66","https://dev.azure.com/octodemo-temporary/e56bef04-322b-4fea-8758-d6fea322ecc9/_git/d58b2183-87dc-4f27-8e11-01d319b0ef0c/alerts/17","octodemo-temporary","jfhelin-GHAzDO","jfhelin-GHAzDO","refs/heads/main",,"src/main/webapp/static/bootstrap-3.4.1-dist/js/bootstrap.js:2214 @ 7565e867",""
"18","active","Missing rate limiting (js/missing-rate-limiting)","code","js/missing-rate-limiting","js/missing-rate-limiting","An HTTP request handler that performs expensive operations without restricting the rate at which operations can be carried out is vulnerable to denial-of-service attacks.","security,external/cwe/cwe-770,external/cwe/cwe-307,external/cwe/cwe-400","high","2023-10-17T13:05:15Z","2023-10-17T13:05:15Z","","",,"30","126","https://dev.azure.com/octodemo-temporary/e56bef04-322b-4fea-8758-d6fea322ecc9/_git/d58b2183-87dc-4f27-8e11-01d319b0ef0c/alerts/18","octodemo-temporary","jfhelin-GHAzDO","jfhelin-GHAzDO","refs/heads/main",,"index.js:35 @ 7565e867,index.js:36 @ 7565e867",""
"19","dismissed","Database query built from user-controlled sources (js/sql-injection)","code","js/sql-injection","js/sql-injection","Building a database query from user-controlled sources is vulnerable to insertion of malicious code by the user.","security,external/cwe/cwe-089,external/cwe/cwe-090,external/cwe/cwe-943","high","2023-10-17T13:05:15Z","2023-10-17T13:05:15Z","","2023-06-21T11:32:22Z","acceptedRisk","30","0","https://dev.azure.com/octodemo-temporary/e56bef04-322b-4fea-8758-d6fea322ecc9/_git/d58b2183-87dc-4f27-8e11-01d319b0ef0c/alerts/19","octodemo-temporary","jfhelin-GHAzDO","jfhelin-GHAzDO","refs/heads/main",,"index.js:43 @ 7565e867,index.js:44 @ 7565e867",""
"58","active","Query built from user-controlled sources (java/sql-injection)","code","java/sql-injection","java/sql-injection","Building a SQL or Java Persistence query from user-controlled sources is vulnerable to insertion of malicious code by the user.","security,external/cwe/cwe-089,external/cwe/cwe-564","high","2023-09-05T16:18:06Z","2023-09-05T16:18:06Z","","",,"30","118","https://dev.azure.com/octodemo-temporary/f6827034-7534-40f5-8f47-eca78ec0dec8/_git/35db0ddb-6fcc-491d-bbb0-03051b9eed03/alerts/58","octodemo-temporary","demo-felickz","WebGoat","refs/heads/main",,"src/main/java/org/owasp/webgoat/lessons/sqlinjection/introduction/SqlInjectionLesson3.java:63 @ 37bc01a2",""
"59","active","Query built from user-controlled sources (java/sql-injection)","code","java/sql-injection","java/sql-injection","Building a SQL or Java Persistence query from user-controlled sources is vulnerable to insertion of malicious code by the user.","security,external/cwe/cwe-089,external/cwe/cwe-564","high","2023-09-05T16:18:06Z","2023-09-05T16:18:06Z","","",,"30","118","https://dev.azure.com/octodemo-temporary/f6827034-7534-40f5-8f47-eca78ec0dec8/_git/35db0ddb-6fcc-491d-bbb0-03051b9eed03/alerts/59","octodemo-temporary","demo-felickz","WebGoat","refs/heads/main",,"src/main/java/org/owasp/webgoat/lessons/sqlinjection/introduction/SqlInjectionLesson5b.java:66 @ 37bc01a2",""
"60","active","Query built from user-controlled sources (java/sql-injection)","code","java/sql-injection","java/sql-injection","Building a SQL or Java Persistence query from user-controlled sources is vulnerable to insertion of malicious code by the user.","security,external/cwe/cwe-089,external/cwe/cwe-564","high","2023-09-05T16:18:06Z","2023-09-05T16:18:06Z","","",,"30","118","https://dev.azure.com/octodemo-temporary/f6827034-7534-40f5-8f47-eca78ec0dec8/_git/35db0ddb-6fcc-491d-bbb0-03051b9eed03/alerts/60","octodemo-temporary","demo-felickz","WebGoat","refs/heads/main",,"src/main/java/org/owasp/webgoat/lessons/sqlinjection/introduction/SqlInjectionLesson5.java:80 @ 37bc01a2",""
